killed_by,kill_distance,killer_placement,killer_name,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,extra
M762,#14,1,Ftbox_NkEr,455229.90625,376783.71875,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pRGpLnw2rFCZA0znj3DhjCaCmDvGgaY4E6qLhBkxYj1t9_MayocxQSxWzNr7mvr9QJIfZhDgiOqkgZE-HmkdW7u-EaBnJm4npv_2_GxfCf0h0Ksc9YPlnNs=,2023-02-28 04:34:41,FuryS_CN_RunNow,#14,454507.09375,376166.75,13:24 01|||FuryS_CN_RunNow|||(#14)|||M762 (10m)|||victim|||454507.09375|||376166.75|||FuryS_CN_RunNow|||killer|||455229.90625|||376783.71875|||me
M762,#14,1,Ftbox_NkEr,455252.46875,376793.375,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pRGpLnw2rFCZA0znj3DhjCaCmDvGgaY4E6qLhBkxYj1t9_MayocxQSxWzNr7mvr9QJIfZhDgiOqkgZE-HmkdW7u-EaBnJm4npv_2_GxfCf0h0Ksc9YPlnNs=,2023-02-28 04:34:41,FuryS_TiLamHet,#14,455930.1875,375333.03125,13:25 02|||FuryS_TiLamHet|||(#14)|||M762 (16m)|||victim|||455930.1875|||375333.03125|||FuryS_TiLamHet|||killer|||455252.46875|||376793.375|||me
M762,#2,1,Ftbox_NkEr,438254.46875,305511.53125,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pRGpLnw2rFCZA0znj3DhjCaCmDvGgaY4E6qLhBkxYj1t9_MayocxQSxWzNr7mvr9QJIfZhDgiOqkgZE-HmkdW7u-EaBnJm4npv_2_GxfCf0h0Ksc9YPlnNs=,2023-02-28 04:34:41,Rououbui,#2,438870.90625,305977.9375,27:42 03|||Rououbui|||(#2)|||M762 (8m)|||victim|||438870.90625|||305977.9375|||Rououbui|||killer|||438254.46875|||305511.53125|||me
M762,#2,1,Ftbox_NkEr,438068.15625,305615.53125,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pRGpLnw2rFCZA0znj3DhjCaCmDvGgaY4E6qLhBkxYj1t9_MayocxQSxWzNr7mvr9QJIfZhDgiOqkgZE-HmkdW7u-EaBnJm4npv_2_GxfCf0h0Ksc9YPlnNs=,2023-02-28 04:34:41,Bei1210,#2,438352.40625,306184.15625,28:02 04|||Bei1210|||(#2)|||M762 (6m)|||victim|||438352.40625|||306184.15625|||Bei1210|||killer|||438068.15625|||305615.53125|||me
Grenade,#5,,DouBi--Tv007,368419.125,407572.75,https://opgg-pubg-static.akamaized.net/images/map/erangel/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9peLCF0Viz5XXTpSzcSE8uqfIZRvtEgpuJVkLovk4J18UtVFG9qHuOY6F1hZ93r1IK3DDD-mZ--Ry6AVXZxjggaXqFWwZblsKluc8KjeX7MNBeztbQexZpQY=,2023-02-28 04:25:36,Ftbox_NkEr,16,368271.625,407641.53125,06:02 killer|||DouBi--Tv007|||(#5)|||Grenade (2m)|||victim|||368271.625|||407641.53125|||me|||killer|||368419.125|||407572.75|||DouBi--Tv007
S1897,#17,1,Ftbox_NkEr,455040.5625,252630.515625,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,GOODMEMEDA,#17,455397.90625,252330.484375,02:59 01|||GOODMEMEDA|||(#17)|||S1897 (5m)|||victim|||455397.90625|||252330.484375|||GOODMEMEDA|||killer|||455040.5625|||252630.515625|||me
M762,#17,1,Ftbox_NkEr,455058.8125,251557.578125,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,L0NeLYR0NIN,#17,463497.46875,254663.140625,03:49 02|||L0NeLYR0NIN|||(#17)|||M762 (90m)|||victim|||463497.46875|||254663.140625|||L0NeLYR0NIN|||killer|||455058.8125|||251557.578125|||me
S1897,#14,1,Ftbox_NkEr,455546.90625,252066.265625,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,Douyu_2250481,#14,456054.09375,252549.84375,04:41 03|||Douyu_2250481|||(#14)|||S1897 (7m)|||victim|||456054.09375|||252549.84375|||Douyu_2250481|||killer|||455546.90625|||252066.265625|||me
S1897,#14,1,Ftbox_NkEr,455958.8125,252083.234375,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,o2-i3,#14,455024.09375,252070.578125,07:12 04|||o2-i3|||(#14)|||S1897 (9m)|||victim|||455024.09375|||252070.578125|||o2-i3|||killer|||455958.8125|||252083.234375|||me
S1897,#14,1,Ftbox_NkEr,455958.8125,252083.234375,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,Xiao_hu_hu_,#14,456190.875,252571.78125,07:12 05|||Xiao_hu_hu_|||(#14)|||S1897 (5m)|||victim|||456190.875|||252571.78125|||Xiao_hu_hu_|||killer|||455958.8125|||252083.234375|||me
